Nome_Piatto,Calorie_kcal,Carboidrati_g,Zuccheri_g,Grassi_g,Grassi Saturi_g,Fibre_g,Colesterolo_mg,Sodio_mg
Sandwich di fave e formaggio,768.0,57.7,9.9,46.2,19.65,10.5,90.0,1981.0
Frittata alla pizzaiola,293.0,5.3,5.3,21.3,10.73,0.9,257.0,349.0
Insalata di riso venere,309.0,49.1,7.5,9.6,1.48,4.4,0.0,317.0
Burger di riso e barbabietola con salsa di Grana Padano,330.0,51.0,5.8,8.6,3.65,4.6,18.0,783.0
Demi baguette al salmone,,,,,,,,
Piadina con crudo pesto di fave e indivia,681.0,34.4,6.0,49.1,11.03,7.5,61.0,2523.0
Sandwich di panettone,,,,,,,,
Piadina con 'nduja salsiccia e pomodorini,,,,,,,,
Piadina stracciatella e cime di rapa,1034.0,67.8,13.2,72.7,20.87,7.5,70.0,590.0
Piadina con erbette patate e lardo di Colonnata,988.0,62.3,3.4,76.9,23.31,4.7,86.0,800.0
Uovo poche fritto con verdure pancetta e salsa bernese,831.0,13.3,2.1,76.8,30.19,1.8,514.0,1309.0
Aragosta allo Champagne con riso pilaf,669.0,72.7,7.1,27.3,15.23,3.2,142.0,220.0
Sandwich tricolore senza glutine,,,,,,,,
Cornbread burger con porcino,,,,,,,,
Maki di kiwi e salmone,,,,,,,,
Torta di panettone gastronomico,562.0,49.2,6.1,25.6,12.12,2.4,89.0,1596.0
Piadina melanzane scamorza e pico de gallo,,,,,,,,
Sandwich senza glutine al tonno e formaggio,,,,,,,,
Pasticcio di Noto,,,,,,,,
Panini alla birra con insalata russa di primavera,,,,,,,,
Fagottini di crespelle con uovo poche,403.0,35.2,11.4,21.7,4.54,3.6,256.0,532.0
Sandwich di polenta con verdure e taleggio,,,,,,,,
Fish pie,576.0,45.1,3.2,34.7,16.21,2.6,138.0,416.0
Pita con agnello,675.0,62.0,6.8,23.4,6.5,5.9,150.0,991.0
Piadina con cotto pecorino e pomodori,580.0,32.7,6.2,34.9,11.75,3.4,110.0,3348.0
Piadina culatello e carciofi,428.0,34.4,1.6,22.1,6.21,4.2,66.0,1941.0
Vacherin al forno alle erbe,689.0,37.1,2.0,43.7,19.31,3.6,112.0,1096.0
Grilled beef speziato con riso pilaf e verdure primaverili,705.0,70.0,9.5,29.8,9.54,4.7,115.0,890.0
Mini tatin ai funghi,524.0,45.0,6.5,31.2,17.61,7.3,89.0,661.0
Piadina con taleggio e cipolle caramellate,,,,,,,,
Tomino al BBQ con verdure grigliate e senape,,,,,,,,
Piadina con gamberi fiori di zucca e insalata,522.0,34.6,8.1,32.6,9.86,2.8,157.0,1053.0
Quiche carote e legumi,,,,,,,,
Schiacciata alle nespole e rosmarino,,,,,,,,
Crepe di patate con brie e prosciutto,539.0,37.6,4.5,31.0,16.32,2.1,156.0,1214.0
Turkey sandwich,,,,,,,,
Veggie hot dog,,,,,,,,
Polpette di riso e insalata,,,,,,,,
Piadina con sarde fritte e burrata,1024.0,75.4,6.6,59.6,18.0,3.3,156.0,726.0
Tempura di verdure autunnali e carne,922.0,80.7,7.6,55.1,7.23,11.2,97.0,646.0
Polpette di maiale in brodo,,,,,,,,
Spiedini rustici con riso allo zafferano,666.0,50.6,4.0,41.4,13.91,2.4,84.0,895.0
Vegan shepherd's pie,,,,,,,,
Insalata di quinoa alla greca,,,,,,,,
Tentacoli di polpo con cous cous alla paprika,,,,,,,,
Timballo di polenta e cotechino,524.0,22.9,1.3,38.9,13.76,1.5,84.0,1840.0
Tacos con kale e gamberi,,,,,,,,
Bowl di riso e salmone al vapore,,,,,,,,
Lasagne di fasolari,859.0,98.6,17.2,37.4,16.86,4.4,213.0,363.0
Sandwich piccante con tonno caprino e pesto di olive,412.0,31.1,3.1,22.0,5.96,6.9,47.0,884.0
Poke temaki wrap,468.0,21.6,4.9,33.2,8.08,3.0,59.0,814.0
Caprese decadente,923.0,29.7,4.7,78.3,29.43,1.3,105.0,991.0
Panino con polpette,762.0,98.5,8.1,20.5,6.48,7.2,173.0,1262.0
Pizza con bicarbonato,,,,,,,,
Quesadillas con funghi,442.0,51.3,4.7,18.8,5.3,4.2,25.0,1606.0
Burger di polpo,755.0,56.0,12.8,31.7,14.0,5.0,302.0,3251.0
Piadina con pollo al curry e pesto di zucchine,,,,,,,,
Piadina salsiccia e patate,,,,,,,,
Piadina con salsiccia e peperoni arrosto,558.0,40.2,10.7,36.3,10.42,6.2,44.0,1182.0
Crostacei con verdure al vapore e maionese agli agrumi,744.0,14.5,11.4,67.6,9.89,6.3,335.0,487.0
Gunkanmaki,93.0,10.5,0.6,3.1,0.68,0.4,50.0,704.0
Spezzatino in crosta con patate e funghi,610.0,55.9,5.7,28.9,14.21,5.3,149.0,653.0
Parmigiana di cardi,1204.0,58.2,10.1,88.6,29.31,6.1,286.0,1635.0
Salmone croccante con insalata di noodles,635.0,45.0,8.6,34.2,6.66,4.4,52.0,1025.0
Piadina con prosciutto crudo e mascarpone,,,,,,,,
Insalata di riso con salmone tataki e rucola,,,,,,,,
Panino con barbabietola e pollo speziato,,,,,,,,
Quaglie con mantello di pancetta e riso,,,,,,,,
Burger d'anatra con maionese agli agrumi,1419.0,64.6,17.3,109.7,21.11,5.9,299.0,1336.0
Toast al tonno e crescenza,336.0,27.8,9.4,18.2,6.84,1.7,39.0,357.0
Ghormeh sabzi,,,,,,,,
Tagliatelle di frittatine verdi con funghi e speck,627.0,58.0,8.6,29.7,11.8,4.9,225.0,1292.0
Piadina con pomodori secchi e mozzarella di bufala,,,,,,,,
Burger di cereali e riso rosso con hummus di avocado,414.0,43.0,2.8,21.3,4.55,5.6,69.0,596.0
Zuppa di pollo con riso basmati,,,,,,,,
Piadina con fiori di zucca ripieni e fritti,757.0,71.4,10.6,41.2,8.5,5.0,42.0,945.0
Piadina con tacchino e guacamole,,,,,,,,
Double cheeseburger,480.0,6.6,5.9,28.8,10.81,2.7,145.0,864.0
Riso con tofu saltato piccante,,,,,,,,
Insalata di pollo e anguria,,,,,,,,
Uova alla benedict con tartufo e fonduta di tomino,,,,,,,,
Crespelle integrali con prosciutto groviera e spinaci,,,,,,,,
Zuppa di pollo e avocado,288.0,11.1,5.8,14.9,2.08,5.3,60.0,388.0
Pastieri ragusani,383.0,24.5,1.9,21.7,9.21,1.5,95.0,811.0
Terrine gratinate di polenta e funghi porcini,564.0,73.2,3.2,21.2,7.84,3.9,43.0,623.0
Club sandwich con polpo e patate,701.0,82.6,7.2,25.6,4.53,9.6,162.0,1562.0
Kebab vegetariano,1041.0,78.6,15.5,71.5,20.77,9.1,54.0,1670.0
Panino ai fichi,713.0,64.7,28.0,38.5,14.29,4.7,71.0,1799.0
Insalata di manzo speziato e Grana Padano,616.0,10.1,10.1,48.2,11.04,3.5,97.0,1203.0
Hamburger alle erbe aromatiche con verdure miste e patatine,959.0,78.3,14.9,56.0,13.89,7.4,124.0,829.0
Cous cous con gamberi e pomodorini confit,,,,,,,,
Choripan,,,,,,,,
Panino vegetariano con peperoni e uova,,,,,,,,
Quinoa bowl con mele formaggio e frutti rossi,,,,,,,,
Piadina con prosciutto e scamorza,,,,,,,,
Burger di manzo con maionese di soia,1058.0,40.0,9.9,73.6,21.29,2.0,243.0,1041.0
Piadina con zucchine e stracchino,,,,,,,,
Pita con pollo fritto,574.0,38.5,9.9,25.5,5.67,4.3,248.0,747.0
Bocconcini di pane con tonno e avocado,601.0,36.1,4.2,37.9,9.76,4.6,59.0,761.0
Farro con pesce spada,517.0,48.0,7.8,25.1,2.94,10.5,44.0,567.0
Chivito,768.0,36.5,5.8,39.1,14.47,3.3,393.0,2176.0
Insalata con polpette di ceci e bacon,682.0,30.8,4.2,51.7,9.41,14.1,78.0,1146.0
Peperoni ripieni di riso nero salmone e zucchine,424.0,67.6,7.1,11.6,1.74,2.8,7.0,807.0
Lasagne di zucca con crema di funghi e scamorza,393.0,6.3,5.3,30.5,15.63,4.6,93.0,663.0
Rotolo di polenta con salsiccia e funghi,618.0,38.8,4.8,41.3,13.64,4.0,45.0,1335.0
Polenta con polpo in umido ed erbette saltate,451.0,57.8,7.8,12.5,2.34,3.6,121.0,1085.0
Crostata con pesto misto e pancetta,898.0,30.0,4.2,77.5,22.09,3.1,205.0,1022.0
Timballo di verdure e noci,207.0,15.6,4.5,13.3,2.48,3.5,5.0,595.0
Fonduta di Reblochon,621.0,26.4,1.1,41.6,18.9,2.5,112.0,1118.0
Fish tacos,690.0,63.2,6.6,34.4,6.33,3.5,58.0,743.0
Cous cous con anguria feta e pomodorini,,,,,,,,
Arancini agli spinaci,,,,,,,,
Torta di crespelle ai funghi,,,,,,,,
Omelette caprese,518.0,6.0,6.0,39.5,16.44,2.6,454.0,1339.0
Piadina al gorgonzola con crudo e pomodori,766.0,37.5,5.1,48.6,18.59,2.2,145.0,3065.0
Crostata salata rustica alla birra,527.0,36.0,4.2,33.6,17.84,1.9,182.0,607.0
Focaccia di Carnevale,,,,,,,,
Parmigiana di verdure invernali,360.0,7.6,6.8,30.3,17.0,5.4,81.0,598.0
Lobster roll,,,,,,,,
Portobello burger,433.0,3.5,3.5,36.3,13.68,11.7,79.0,853.0
Piadina di grano saraceno con straccetti di pollo e chips al forno,873.0,72.9,12.2,43.0,12.57,5.8,112.0,929.0
Ossobuco di tacchino con risotto,,,,,,,,
Pollo ai 4 sapori con tortino di carote,487.0,16.0,10.3,27.7,12.3,2.1,417.0,746.0
One-pot di pollo e verdure,349.0,31.4,5.4,11.9,1.92,3.8,60.0,1080.0
Crepe salate con finferli e pancetta,757.0,53.9,8.4,43.2,19.65,3.7,209.0,1674.0
Manzo piccante con peperoni e germogli di soia,574.0,63.8,4.2,17.9,5.61,2.7,93.0,1283.0
Noodles fritti alle verdure,514.0,45.5,11.0,32.6,5.9,3.5,0.0,1531.0
Colazione messicana,553.0,23.5,5.4,41.4,9.73,9.2,226.0,1071.0
Formaggio vegano spalmabile,149.0,1.5,1.2,12.8,0.93,3.7,0.0,279.0
Wrap di tonno e avocado con salsa allo yogurt e daikon,410.0,30.2,3.8,22.0,5.34,3.1,42.0,509.0
Salmone Tandoori,413.0,5.5,5.4,26.2,7.02,0.4,76.0,517.0
Croque baguette,613.0,37.7,7.5,38.1,20.84,1.6,108.0,1296.0
Stufato di rape rosse e lenticchie,,,,,,,,
One-pot di pollo biryani,617.0,66.3,14.7,22.5,8.51,6.4,163.0,848.0
Piadina al salmone con salsa allo yogurt,414.0,35.1,8.6,21.9,4.52,2.0,39.0,1659.0
Quinoa melanzane e menta,271.0,36.7,4.6,8.8,2.9,6.3,10.0,534.0
Riso rosso e cereali con bufala e pomodorini arrosto,661.0,76.6,5.8,29.5,4.53,11.6,28.0,603.0
Pho vietnamita,,,,,,,,
Temaki,,,,,,,,
Tajine con verdure,,,,,,,,
Frittata ai piselli fave e fagiolini,143.0,7.5,3.0,6.3,2.26,5.2,255.0,683.0
Dahl di lenticchie rosse,,,,,,,,
Cipollata,783.0,77.3,13.3,36.0,10.86,5.8,127.0,1228.0
Puccia con burrata e fiori di zucca,920.0,68.4,4.9,61.3,21.54,4.2,70.0,859.0
L'Audace,,,,,,,,
Torta salata funghi e lenticchie,,,,,,,,
Pita con melanzane e pollo,752.0,52.0,7.2,29.0,6.3,4.3,158.0,1316.0
Bulgur con ciliegie e caprino,375.0,24.5,5.4,25.5,5.38,7.4,21.0,710.0
Sashimi,,,,,,,,
Burger di broccoli ,,,,,,,,
Chaffle,,,,,,,,
Quiche  al salmone con patate e radicchio,438.0,28.3,3.9,27.9,13.11,2.1,162.0,296.0
Tomino burger,778.0,71.5,9.2,42.0,16.95,5.5,86.0,2916.0
Chifeletti,,,,,,,,
Piadina con salsiccia e cipolle stufate,865.0,50.5,14.2,57.8,16.74,4.3,115.0,2326.0
Pizza di barbabietola,,,,,,,,
Club sandwich con uova strapazzate,641.0,23.6,7.0,50.7,14.55,9.3,249.0,787.0
Bowl di salmone avocado e croccante di pane,,,,,,,,
Insalatona nel pane,609.0,99.9,4.0,10.9,3.97,6.0,37.0,1475.0
Salmone alla griglia con insalata di cous cous,464.0,26.3,9.4,25.0,5.35,5.2,53.0,1035.0
Pollo tandoori con chapati e salsa alla curcuma,499.0,45.9,4.0,11.0,2.72,1.8,124.0,675.0
Insalata di orzo e cavolo riccio,455.0,51.2,9.6,21.4,4.6,9.1,9.0,686.0
Frittata di mazzancolle,243.0,3.1,3.1,14.3,3.99,0.6,510.0,569.0
Insalata con uova strapazzate,,,,,,,,
Pasticcio di patate e salsiccia,798.0,29.4,3.3,61.0,25.39,3.0,100.0,1583.0
Melanzane ripiene di bulgur,,,,,,,,
Madame club sandwich,775.0,55.5,7.33,43.8,17.08,4.2,210.0,888.0
Piadina Tirolo,954.0,70.9,7.4,55.8,25.61,2.6,146.0,2269.0
Futomaki,,,,,,,,
Sandwich di manzo e insalata di cavolo con patate croccanti,487.0,43.5,7.0,18.0,6.41,3.4,79.0,629.0
Cirashi Sushi,681.0,74.9,8.9,21.3,5.12,2.0,168.0,833.0
Moscardini alla busara ,389.0,52.3,2.3,10.5,1.88,1.9,40.0,612.0
Parmigiana di zucca,,,,,,,,
Tacchino alle erbe e insalata esotica,686.0,19.2,16.8,44.8,8.76,6.1,130.0,696.0
Straccetti di pollo al curry,,,,,,,,
McChicken Delicato,1872.0,194.3,11.9,97.7,15.91,10.7,134.0,3591.0
Egg burger,513.0,48.0,4.6,24.6,9.9,3.3,308.0,1226.0
Gratin dauphinois,532.0,33.4,7.0,33.2,18.43,2.5,220.0,405.0
Hamburger di tacchino,534.0,43.6,12.3,18.5,6.84,10.0,118.0,1290.0
Vellutata di ceci con saute di cozze e vongole,623.0,69.6,10.3,19.5,2.81,18.0,131.0,921.0
Polenta e bruscitt,809.0,51.4,1.4,31.4,12.92,2.0,282.0,434.0
Piadina con verdure gratinate,807.0,54.9,9.2,56.4,19.36,5.8,83.0,964.0
Zucchine ripiene con cereali e quinoa,236.0,33.8,3.3,6.9,1.15,5.7,11.0,320.0
Insalata di farro invernale,609.0,61.0,8.8,24.78,9.18,11.4,51.0,943.0
Wrap con hummus piccante e verdure,434.0,25.8,8.0,28.3,9.06,9.3,46.0,1564.0
One-pot paella vegetariana di riso rosso,,,,,,,,
Parmigiana nel panino,,,,,,,,
Insalata di tonno esotica,205.0,5.9,5.9,15.2,5.02,3.2,24.0,614.0
Frittata con pesto e pomodori,173.0,1.7,1.7,13.4,4.13,0.8,261.0,646.0
Insalata di gamberi con salsa allo yogurt,331.0,11.4,10.9,23.3,2.87,4.0,151.0,460.0
Empanadas di tonno,,,,,,,,
Crema di porri e patate con spiedino di salmone,612.0,40.7,10.8,35.9,6.95,7.6,45.0,1648.0
Tortillas con maiale speziato e guacamole allo yogurt,409.0,36.9,6.2,19.5,3.08,3.7,48.0,696.0
Toast vegetariano,,,,,,,,
Hamburger piemontesi,,,,,,,,
Capriolo in salmi con polenta di grano saraceno,737.0,56.3,5.1,29.9,9.44,2.9,133.0,645.0
Cime di rapa con salsiccia,568.0,2.9,2.9,52.7,18.53,2.5,60.0,1301.0
One-pot di riso,369.0,48.4,4.2,13.7,3.25,3.9,23.0,1105.0
Crostata salata di polenta,,,,,,,,
Bulgur con pesto di erbe fresche e noci,417.0,57.0,1.6,15.7,1.61,15.6,0.0,301.0
Crescentine (o tigelle) con la cunza,307.0,32.3,1.6,17.5,5.75,1.2,15.0,136.0
Vegan burger di lenticchie rosse,506.0,74.3,6.0,15.1,2.14,12.6,0.0,1123.0
Couscous con verdure e polpettine di pesce,468.0,64.8,7.3,12.1,2.0,7.6,41.0,708.0
Tempeh alle verdure,,,,,,,,
Panada,1100.0,124.6,4.8,43.4,18.58,7.5,140.0,433.0
Panino wurstel e patatine,743.0,53.4,3.0,50.5,12.35,3.1,62.0,2439.0
Arepas ripiene di carne,544.0,38.6,6.6,23.2,5.29,4.5,120.0,577.0
Jambalaya,1119.0,113.6,14.4,38.7,10.33,6.5,360.0,1000.0
Poke bowl vegetariano,,,,,,,,
Piadina con crudo brie insalata e salsa cocktail,557.0,28.3,1.3,35.1,13.65,2.0,110.0,2190.0
Sandwich di pollo,853.0,28.3,8.0,59.2,13.61,3.1,229.0,1046.0
Pita con hummus di pomodori secchi,434.0,55.7,9.3,18.5,2.64,6.3,0.0,1558.0
Sushi vegetariano,230.0,42.7,2.0,4.5,0.6,2.0,0.0,30.0
Tigelle crudo e crescenza,293.0,33.2,1.8,13.0,5.21,1.2,21.0,460.0
One-pot quinoa,,,,,,,,
Sandwich cubano,,,,,,,,
Burger di fave,412.0,46.3,3.8,16.8,7.09,7.1,62.0,1185.0
Frittata di ortiche,232.0,1.3,1.3,17.7,8.98,3.4,289.0,446.0
Fajitas di pollo e cubetti di pancetta affumicata,,,,,,,,
Bollito misto alla Piemontese,,,,,,,,
Torta salata alla cipolla di Tropea e Silano,,,,,,,,
Pomodori ripieni di carne,161.0,4.7,4.7,11.6,2.21,2.1,23.0,361.0
Gateau di patate con soppressata e provola affumicata,,,,,,,,
Insalata di pollo croccante con vinaigrette,,,,,,,,
Paella algherese,,,,,,,,
Quiche di polenta,341.0,27.6,3.0,20.7,8.35,1.6,137.0,339.0
Farro tiepido con pollo al miele,521.0,55.6,23.4,24.3,3.43,4.3,30.0,522.0
Curry verde Thai ,291.0,11.9,8.8,14.6,3.77,5.0,62.0,872.0
Carpaccio di zucchine con tonno,403.0,4.8,4.7,30.2,7.96,2.7,66.0,614.0
Piadina senza glutine,,,,,,,,
Morzello (Morzeddhu alla Catanzarisi),,,,,,,,
McChicken Saporito,1865.0,193.7,10.9,97.7,15.45,10.1,140.0,3602.0
Salmone agli agrumi con riso pilaf,698.0,58.4,18.3,34.8,11.84,8.7,92.0,677.0
Bacalhau a Braz,801.0,29.5,11.9,56.33,13.56,3.1,302.0,4544.0
Polenta con salsiccia e formaggio,1632.0,106.8,6.8,104.7,42.32,4.5,166.0,2606.0
Raclette,1080.0,99.6,8.8,44.7,17.85,9.8,163.0,3323.0
Rotolo di crespelle con zucchine,434.0,21.8,6.4,30.3,17.69,1.9,124.0,654.0
Empanadas con gorgonzola e porri,,,,,,,,
Carciofi ripieni,295.0,15.8,3.8,13.8,5.91,8.1,106.0,1023.0
Fonduta di Parmigiano,365.0,2.6,2.6,29.8,18.61,0.0,97.0,350.0
Timballo di riso ai 4 formaggi,729.0,74.7,1.8,33.1,18.14,1.3,96.0,1168.0
Wrap di polpo,575.0,46.8,8.1,29.1,6.05,3.0,158.0,1284.0
Tabuleh con verdure,159.0,16.7,7.3,8.7,1.3,4.2,0.0,228.0
Coniglio in salmi con polenta,526.0,43.0,5.9,17.5,4.2,3.2,78.0,467.0
One-pot parmigiana,304.0,7.9,7.7,22.1,8.95,4.4,37.0,2010.0
Cotechino in crosta,1051.0,48.7,4.3,79.41,30.11,6.7,248.0,1938.0
Il Goloso,,,,,,,,
Tartiflette,691.0,44.9,2.7,44.7,24.06,4.1,140.0,1187.0
Brodetto fanese,690.0,56.8,8.6,21.8,3.63,3.6,280.0,1186.0
Noodles con pollo e gamberi,,,,,,,,
Pomodori ripieni di riso patate e cozze,,,,,,,,
Lingue di pizza,,,,,,,,
Parmigiana bianca di verdure e parmigiano,320.0,16.9,11.1,22.6,9.88,5.2,44.0,363.0
Spezzatino di seitan con verdure stufate,591.0,22.6,4.7,10.7,1.56,2.9,0.0,641.0
Zucchine ripiene di riso,,,,,,,,
Omelette regina,325.0,1.6,1.4,23.2,8.71,4.8,449.0,1021.0
Pasticcio di pollo e patate,349.0,15.9,1.9,15.8,6.55,1.8,158.0,405.0
Quesadillas,937.0,71.7,10.2,41.8,16.81,4.8,172.0,1655.0
Polenta taragna,681.0,102.4,2.4,21.6,10.33,3.3,52.0,559.0
Angelica salata alla birra,460.0,39.6,3.2,24.9,11.51,2.2,141.0,565.0
Nasi Goreng,,,,,,,,
Bagel farcito,412.0,42.9,4.4,15.7,7.52,3.8,54.0,1910.0
Acquasale,199.0,23.0,2.9,10.3,1.53,2.0,0.0,525.0
Shepherd's pie,616.0,33.6,8.3,40.9,19.4,7.4,214.0,650.0
Burrito con verdure,925.0,141.4,12.6,25.9,3.93,18.2,0.0,2524.0
Spezzatino di cinghiale con polenta taragna,1423.0,115.3,15.4,62.2,27.3,6.0,260.0,1543.0
Boeuf bourguignon,497.0,10.5,7.6,19.2,5.56,3.8,136.0,671.0
Crescia sfogliata,495.0,59.3,2.0,22.7,9.48,2.1,156.0,648.0
Crespelle gorgonzola e radicchio,347.0,18.5,4.3,24.0,13.33,2.4,120.0,489.0
Filetto di merluzzo allo zenzero,403.0,42.6,2.2,15.3,2.22,1.8,50.0,407.0
Ciambella di riso ripiena,,,,,,,,
Spaghetti di riso con verdure e pollo caramellato,335.0,57.6,12.7,2.2,0.35,3.1,37.0,742.0
Fregola con ceci e pancetta,339.0,50.9,4.6,9.6,2.19,7.1,11.0,971.0
Pasticcio di patate e pancetta,732.0,55.6,13.0,40.6,19.21,4.8,118.0,1643.0
Peperoni ripieni di ricotta melanzane e pinoli,,,,,,,,
Piadine con petti di pollo e mais,526.0,57.2,13.4,15.2,4.02,5.8,99.0,836.0
Chicken pie,,,,,,,,
Rotolo porcini e prosciutto,635.0,32.8,6.7,45.3,16.65,4.9,111.0,1194.0
Torta salata di asparagi,448.0,44.0,5.9,20.2,8.52,3.8,47.0,581.0
Insalata di pollo e mele,363.0,14.3,12.1,16.0,2.37,3.5,97.0,665.0
Quiche di zucchine trombetta,408.0,24.1,4.9,28.1,14.87,1.9,154.0,352.0
Cistecca,,,,,,,,
Insalata di riso alla marinara,375.0,50.2,2.8,6.8,1.31,1.3,153.0,474.0
Involtini vietnamiti con salsa agrodolce,,,,,,,,
Insalata di orzo e salmone,541.0,47.3,4.9,27.6,7.01,7.5,36.0,649.0
Nigiri,,,,,,,,
Curry di gamberi,171.0,9.8,5.8,8.7,1.16,2.3,94.0,729.0
Torta salata al radicchio,378.0,21.4,4.1,27.3,12.07,3.6,103.0,458.0
Zighini,548.0,57.9,11.3,16.1,5.3,11.0,93.0,768.0
Veggie wrap,437.0,41.2,14.6,23.6,8.39,4.9,22.0,1729.0
Crespelle speck radicchio e fontina,1033.0,55.3,7.6,66.7,33.52,4.6,311.0,2106.0
Chicken rolls,338.0,34.5,7.6,12.3,1.76,3.1,58.0,568.0
Fonduta alla Valdostana,,,,,,,,
Cheeseburger,602.0,34.4,2.4,31.7,9.92,2.1,133.0,970.0
Polenta concia,848.0,68.9,2.2,52.9,27.83,2.2,141.0,604.0
Veggie burger,645.0,91.7,8.4,17.9,4.78,13.4,64.0,1303.0
Piadina senza strutto,,,,,,,,
Frittata di spaghetti alla napoletana,404.0,55.4,5.3,11.6,4.76,2.8,217.0,305.0
Peperoni imbottiti alla napoletana,703.0,105.5,10.2,23.0,3.84,8.7,93.0,2217.0
Omelette di verdure,662.0,9.2,8.5,60.5,10.44,6.1,358.0,1307.0
Lasagne di pane carasau,794.0,64.9,7.7,44.0,16.81,5.4,59.0,1401.0
Tonno fagioli e cipolla,336.0,34.1,4.2,12.1,1.99,11.0,20.0,396.0
Trippa alla milanese (busecca),433.0,13.2,4.1,24.6,10.66,6.6,212.0,521.0
Cialdine al parmigiano,101.0,0.0,0.0,7.3,4.82,0.0,24.0,145.0
Polpettone,466.0,12.9,2.2,29.4,12.03,1.3,189.0,951.0
Cotechino con lenticchie,811.0,52.5,7.6,49.8,14.12,14.2,85.0,1899.0
Burrito di pollo con guacamole al lime,755.0,43.6,10.8,44.9,13.21,6.7,105.0,1355.0
Gateau di zucchine con cuore filante,709.0,24.0,5.1,51.5,25.28,3.4,229.0,1343.0
Sartu di riso,1226.0,67.5,6.0,81.0,23.24,4.7,259.0,989.0
Pizza fritta con mortadella e fiordilatte,,,,,,,,
Bagna caoda,916.0,6.2,6.2,94.9,13.84,1.5,28.0,848.0
Riso patate e cozze,353.0,58.8,0.6,8.2,2.52,2.7,32.0,306.0
Panzanella croccante,234.0,23.4,4.2,12.6,1.86,3.3,0.0,498.0
Paella vegetariana,583.0,105.0,12.2,10.6,1.8,15.6,0.0,1544.0
Hamburger vegetariano,501.0,61.8,8.1,19.8,5.22,10.4,15.0,844.0
Cous cous tonno e zucchine,401.0,60.4,2.3,9.0,1.49,5.9,21.0,408.0
Pulled pork,651.0,12.9,11.2,30.2,9.88,3.2,279.0,1602.0
Insalata di riso al profumo di mare,323.0,53.9,4.3,2.7,0.52,7.1,67.0,779.0
Spezzatino di tacchino,552.0,41.2,6.9,8.1,1.95,4.7,149.0,738.0
Ragu alla napoletana,407.0,5.1,5.1,29.8,8.32,1.5,100.0,844.0
Pad thai,609.0,71.5,4.6,26.1,3.67,3.1,81.0,379.0
Panettone gastronomico,512.0,49.6,8.1,25.8,12.6,1.8,108.0,1274.0
Sformato di cavolfiore,617.0,25.3,5.2,41.8,19.2,5.1,179.0,735.0
Crepe alla crema di asparagi,645.0,50.5,12.3,36.3,20.85,3.2,202.0,514.0
Hot dog,441.0,45.6,6.7,22.5,6.16,1.4,46.0,789.0
Torta rustica di patate e cipolle,377.0,32.7,2.7,24.2,13.43,2.1,128.0,158.0
Pizza di Kamut®,1817.0,221.4,11.9,72.3,32.07,8.1,114.0,2848.0
Trippa alla parmigiana,592.0,2.5,2.5,34.0,12.43,0.8,379.0,1001.0
Casoela,,,,,,,,
Curry vegetariano con zucca e ceci,651.0,83.8,10.8,26.3,3.95,11.1,0.0,535.0
Lenticchie e salsiccia,762.0,39.1,6.8,51.6,17.39,10.7,54.0,1223.0
Spaghetti di soia all'orientale,461.0,58.4,17.8,8.2,1.4,4.4,90.0,593.0
Fave e cicorie selvatiche,429.0,57.1,6.6,9.6,1.5,10.8,0.0,435.0
Gyros,617.0,53.8,4.3,28.0,9.45,2.9,97.0,921.0
Uramaki,,,,,,,,
Crescione,702.0,78.6,4.8,33.4,12.07,4.7,42.0,911.0
Couscous con piselli e gamberi,382.0,38.9,8.7,19.1,5.58,6.8,56.0,442.0
Pizza senza glutine,2077.0,288.5,9.7,72.4,33.03,4.3,120.0,1307.0
Tacos con carne,258.0,41.3,1.3,7.4,1.22,1.4,6.0,452.0
Polenta,484.0,102.0,2.0,3.5,0.43,3.3,0.0,3.0
Hosomaki,,,,,,,,
Couscous alla marocchina,491.0,39.0,16.9,12.0,3.34,7.8,177.0,1904.0
Baozi,,,,,,,,
Ribollita,427.0,64.0,8.9,9.9,1.57,15.0,0.0,725.0
Spaghetti di riso con carne e verdure,408.0,49.3,8.9,12.1,2.07,5.8,52.0,1035.0
Tiella barese,397.0,62.4,2.2,11.0,2.9,2.6,43.0,508.0
Pollo e gamberi al curry con riso basmati,689.0,55.8,8.0,31.4,6.56,3.2,145.0,515.0
Zuppa di patate e borlotti,509.0,56.4,6.7,20.5,5.44,14.1,24.0,867.0
Crespelle alla crema di funghi e fontina,396.0,32.5,6.1,21.8,10.82,4.6,127.0,393.0
Torta rustica,429.0,47.3,3.2,19.2,7.25,2.1,76.0,839.0
Pollo tikka masala,405.0,12.8,11.6,11.3,4.35,2.0,164.0,418.0
Spaghetti di soia con verdure e gamberi,342.0,54.6,21.4,9.0,1.09,4.9,53.0,915.0
Salsiccia e fagioli,739.0,31.0,7.1,53.5,18.76,10.4,60.0,1280.0
Melanzane ripiene di riso con cuore filante,891.0,49.7,6.0,67.8,18.16,5.1,43.0,636.0
Tacos veloci,543.0,43.1,3.2,34.4,11.58,2.1,39.0,1138.0
Gnudi,421.0,19.1,4.0,30.9,15.88,2.9,121.0,377.0
Couscous ai frutti di mare,442.0,28.9,7.0,18.6,3.33,2.9,247.0,1008.0
Burrito,,,,,,,,
Ramen,560.0,66.4,3.5,18.7,4.42,0.4,242.0,1911.0
Peperoni ripieni di riso,830.0,78.3,12.9,41.8,16.25,3.3,88.0,1653.0
Fajitas,,,,,,,,
