Nome_Piatto,Calorie_kcal,Carboidrati_g,Zuccheri_g,Grassi_g,Grassi Saturi_g,Fibre_g,Colesterolo_mg,Sodio_mg
Torta salata di melanzane,474.0,22.5,5.3,33.9,15.74,3.4,63.0,812.0
Insalata russa,,,,,,,,
Quiche di zucchine,,,,,,,,
Insalata di polpo prezzemolata,,,,,,,,
Impepata di cozze,,,,,,,,
Capesante gratinate,263.0,22.7,2.7,14.8,2.4,2.1,22.0,663.0
Muffin salati con piselli e prosciutto,229.0,15.7,1.5,14.5,3.6,1.5,68.0,329.0
Pomodorini confit,140.0,12.1,12.1,9.3,1.42,2.6,0.0,300.0
Involtini di melanzane,28.0,0.5,0.5,1.9,0.86,0.3,5.0,108.0
Cozze gratinate,290.0,17.8,2.2,16.6,4.23,5.8,111.0,462.0
Caponata,553.0,31.7,31.5,42.7,6.22,10.9,0.0,702.0
Polpette di zucchine al forno,258.0,28.1,2.9,10.0,5.58,3.0,79.0,758.0
Pizzette di sfoglia,92.0,5.3,0.4,6.7,2.54,0.4,16.0,133.0
Fiori di zucca in pastella,558.0,40.2,2.2,41.2,8.15,1.5,40.0,711.0
Vitello tonnato,283.0,2.6,2.6,11.3,2.75,1.3,155.0,514.0
Arancini di riso,628.0,55.1,2.2,38.8,9.73,1.7,32.0,635.0
Focaccia alla genovese,,,,,,,,
Polpettine di tonno e ricotta,650.0,15.5,2.0,54.4,14.06,0.8,145.0,714.0
Piadina Romagnola,488.0,65.1,1.4,21.2,8.99,2.1,20.0,1315.0
Ravioli cinesi al vapore,,,,,,,,
Frittelle di zucchine,114.0,7.8,0.4,8.4,1.88,0.4,2.0,57.0
Polpette di zucchine,,,,,,,,
Involtini primavera,,,,,,,,
Mozzarella in carrozza,337.0,29.1,1.4,20.6,3.49,1.3,57.0,324.0
Rotolini di zucchine con crudo e robiola,181.0,1.6,1.5,13.2,6.15,0.8,44.0,1572.0
Panzerotti (calzoni) fritti,,,,,,,,
Crostata alla crema di limoni,701.0,105.7,45.0,24.7,12.12,2.0,384.0,55.0
